belongs_to_collection;budget;first_genre;other_genres;original_language;overview;popularity;company;country;release_date;revenue;runtime;spoken_languages;tagline;title;vote_average;votecount;keywords
;20000000;Thriller;Crime Drama ;en;Terry is a small-time car dealer trying to leave his shady past behind and start a family. Martine is a beautiful model from Terrys old neighbourhood who knows that Terry is no angel. When Martine proposes a foolproof plan to rob a bank  Terry recognises the danger but realises this may be the opportunity of a lifetime. As the resourceful band of thieves burrows its way into a safe-deposit vault at a Lloyds Bank  they quickly realise that  besides millions in riches  the boxes also contain secrets that implicate everyone from Londons most notorious underworld gangsters to powerful government figures  and even the Royal Family. Although the heist makes headlines throughout Britain for several days  a government gag order eventually brings all reporting of the case to an immediate halt.;7.854;Omnilab Media;Australia;2008-02-28;64822796;112;en;The true story of a heist gone wrong... in all the right ways.;The Bank Job;6.8;969;infidelity subway car dealer vault mannequin bahamas strip club wife offer photography london underground based on a true story extortion police corruption double cross walkie talkie cult film railway station jackhammer political corruption bank heist cabinet officer 
;15000000;Romance;Comedy Drama Fantasy ;fr;A beautiful and mysterious woman helps an inept scam artist get his game together...but is their meeting purely coincidence?;4.281;TF1 Films Production;France;2005-12-21;9995168;91;fr;;Angel-A;6.8;275;paris france angel seine 
;14500000;Drama;History War ;fr;During WWII  four North African men enlist in the French army to liberate that country from Nazi oppression  and to fight French discrimination.;5.414;Tessalit Productions;Algeria;2006-05-25;22963701;128;ar;The true story of World War IIs forgotten heroes.;Days of Glory;6.8;158;world war ii algerian german northern africa french army institutional discrimination independent film infantry heroic bloodshed 
Batman Collection;80000000;Action;Fantasy ;en;Having defeated the Joker  Batman now faces the Penguin - a warped and deformed individual who is intent on being accepted into Gotham society. Crooked businessman Max Schreck is coerced into helping him become Mayor of Gotham and they both attempt to expose Batman in a different light. Selina Kyle  Maxs secretary  is thrown from the top of a building and is transformed into Catwoman - a mysterious figure who has the same personality disorder as Batman. Batman must attempt to clear his name  all the time deciding just what must be done with the Catwoman.;10.787;DC Comics;United Kingdom;1992-06-19;280000000;126;en;The Bat  the Cat  the Penguin.;Batman Returns;6.8;2683;holiday corruption double life dc comics crime fighter hallucination christmas tree gotham city vigilante superhero violence dark hero fictional city super power super villain deformed bird cage evil circus christmas holiday 
;5000000;Action;Thriller ;en;In their new overseas home  an American family soon finds themselves caught in the middle of a coup  and they frantically look for a safe escape in an environment where foreigners are being immediately executed.;11.334;Living Films;United States of America;2015-08-26;54418872;103;fr;No rescue. No refuge.;No Escape;6.7;1138;hotel revolution race against time engineer coup survival rebellion execution american family american abroad u.s. embassy foreign 
;60000000;Family;Animation Adventure Comedy ;en;The sailor of legend is framed by the goddess Eris for the theft of the Book of Peace  and must travel to her realm at the end of the world to retrieve it and save the life of his childhood friend Prince Proteus.;5.387;DreamWorks Animation;United States of America;2003-07-02;26288320;86;no;;Sinbad: Legend of the Seven Seas;6.8;722;prince water monster goddess sailor arabian nights 
;22000000;Action;Adventure Romance Science Fiction ;en;An alien takes the form of a young widows husband and asks her to drive him from Wisconsin to Arizona. The government tries to stop them.;5.813;Columbia Pictures;United States of America;1984-12-13;28744356;115;en;In 1977 Voyager II was launched into space  inviting all lifeforms in the universe to visit our planet. Get ready. Companys coming.;Starman;6.8;311;places and planets widow lovers alien police car cherry pie 
;0;Drama;Thriller Crime ;en;Based on the experiences of Nebraska cop Kathryn Bolkovac (Rachel Weisz) who discovers a deadly sex trafficking ring while serving as a U.N. peacekeeper in post-war Bosnia. Risking her own life to save the lives of others  she uncovers an international conspiracy that is determined to stop her  no matter the cost.;4.896;First Generation Films;Canada;2010-09-13;0;112;en;Nothing is more dangerous than the truth.;The Whistleblower;6.7;240;sarajevo biography conspiracy teenage prostitute sex trafficking female cop inside man united nations woman director 
;30000000;Action;Thriller Science Fiction ;en;In the futuristic action thriller Looper  time travel will be invented but it will be illegal and only available on the black market. When the mob wants to get rid of someone  they will send their target 30 years into the past where a looper  a hired gun  like Joe is waiting to mop up. Joe is getting rich and life is good until the day the mob decides to close the loop  sending back Joes future self for assassination.;10.376;Ram Bergman Productions;China;2012-09-26;47042000;118;en;Hunted By Your Future  Haunted By Your Past;Looper;6.8;6133;suicide assassin drug addiction future time travel dystopia retirement boy murder organized crime tragedy execution violence criminal drug addict contract killer neo-noir 
;25000000;Action;Drama History ;en;The familiar story of Lieutenant Bligh  whose cruelty leads to a mutiny on his ship. This version follows both the efforts of Fletcher Christian to get his men beyond the reach of British retribution  and the epic voyage of Lieutenant Bligh to get his loyalists safely to East Timor in a tiny lifeboat.;4.836;Dino De Laurentiis Company;United States of America;1984-05-04;8613462;132;en;After 200 years  the truth behind the legend.;The Bounty;6.8;175;sea exotic island mutiny lake sailing ship adventure tahiti murder pregnancy great barrier reef sailor native peoples storm at sea whipping british sailor based on true events fiji 
;20000000;Adventure;Family Drama Comedy ;en;Stanleys family is cursed with bad luck. Unfairly sentenced to months of detention at Camp Green Lake  he and his campmates are forced by the warden to dig holes in order to build character. What they dont know is that they are digging holes in order to search for a lost treasure hidden somewhere in the camp.;5.889;Phoenix Pictures;United States of America;2003-04-18;0;117;en;Some secrets are too big to keep hidden.;Holes;6.8;595;based on novel or book curse suitor false accusations digging baseball player mountain climbing based on young adult novel 
Megamind - Collection;130000000;Animation;Action Comedy Family Science Fiction ;en;Bumbling supervillain Megamind finally defeats his nemesis  the superhero Metro Man. But without a hero  he loses all purpose and must find new meaning to his life.;11.049;DreamWorks Animation;United States of America;2010-10-28;321887208;95;en;His brain is off the chain.;Megamind;6.7;3090;saving the world date prison secret identity fish gun dna mayor anti hero rain museum one-sided love serum superhero anthropomorphism reporter duringcreditsstinger stronger villain 
The Rescuers Collection;1200000;Fantasy;Family Animation Adventure ;en;What can two little mice possibly do to save an orphan girl whos fallen into evil hands? With a little cooperation and faith in oneself  anything is possible! As members of the mouse-run International Rescue Aid Society  Bernard and Miss Bianca respond to orphan Pennys call for help. The two mice search for clues with the help of an old cat named Rufus.;8.161;Walt Disney Productions;United States of America;1977-06-22;71215869;78;fi;Two tiny agents vs. the worlds wickedest woman in a dazzling animated adventure!;The Rescuers;6.7;1055;kidnapping mouse baby-snatching bottle rescue animation energy rescue mission mole car hole tide 
;28000000;Comedy;Romance Drama ;en;Although strangers Sara and Jonathan are both already in relationships  they realize they have genuine chemistry after a chance encounter ? but part company soon after. Years later  they each yearn to reunite  despite being destined for the altar. But to give true love a chance  they have to find one another again.;7.385;Tapestry Films;United States of America;2001-10-05;77516304;90;en;Sometimes True Love Can Have More Than One Face.;Serendipity;6.7;819;soulmates new love book dollar fate destiny serendipity 
Descendants Collection;0;TV Movie;Adventure Action Comedy Family ;en;A present-day idyllic kingdom where the benevolent teenage son of King Adam and Queen Belle offers a chance of redemption for the troublemaking offspring of Disneys classic villains: Cruella De Vil (Carlos)  Maleficent (Mal)  the Evil Queen (Evvie) and Jafar (Jay).;7.142;Disney Channel;United States of America;2015-07-31;0;112;en;Theyre not bad. Theyre just born that way.;Descendants;6.8;899;fairy tale villain teen movie teenager 
